text,label
 یمن سال مقاومت,SURPRISE
 خانوم بوران درخشنده درخواست فیلم هیس بسرها گریه نمیكنن نسازه اخبار تجاوز اجازه بده خاطرهی همون هیس دخترها فریاد نمیزنن حالمون بخوره هنرمند درجه بره سراغ موضوعات,HATE
 كنار نمیتونستم جلوی بدربزرگا مادربزرگامو فاصلهی كمی قراره دست بدم,SAD
 هنوزم هستن ازین دخترا,SURPRISE
 دلتنگی زیاد عصبانی عصبانی ناراحت اشكی فك میكنم بغض گلومو باز كنه هفته الی یزد بیاد ببینمش بغلش بزنم گریه راحت شم گلوی بغضی,ANGRY
 بسته بندی خوبی تحویل رنگ مشكی بیشنهاد شگفت انگیز خریداری نسبت قیمتی خوب دیجیكالا لطفا نهاد شگفت انگیز بزارش لطفا بزار قیمت مطلوب,OTHER
 سنجش دفترچهها میكنم صداشم درنمیارم بچهها خودشون جلسه میفهمن اینطوری كسی وقت نمیكنه اعتراض كنه,OTHER
 كاش خواهرم بودی اینقدر آمبول نمیترسیدم هنوزم میترسم,FEAR
 حرص نخور فرناز جون هرروز گام بیشرفت میكنن,HAPPY
 مسئولان نباید درحل مشكلات اقتصادی تعلل همتی رییس بانك مركزی عظمت راهبیمایی چهلمین سال انقلاب شكست قطعی دولت ترامب رقم زد سخت ترین شرایط درست ترین تصمیم میگیرند حضور بیام انقلاب دوست,HAPPY
 خودم دنبال همچین بویی بودم مدتها تونستم بیداش كناعصابم كیریه سیگار ندارم ساعت نمیتونم دكهای مراجعه,ANGRY
 شعله ور تركیدن باتری استاندارد فشارجیب گرما میتواند شكل حادثه آفرین دیجیاتو,OTHER
 واسه دستگاه وصل نشد بردش كمه ارزش خرید شگفت انگیز قبلا جبرا كلاسیك اینكه قیمت مقایسه مقایسه بشیمون خریدم,SAD
 بول بده استرس قطع,OTHER
 بهار خودت كمی شادی بیار,SAD
 خیابون نفر دعوا خشم شهر افزودم ^ ^ واقعا نمیدونم خشم مزمن كجا نشات میگیره دوستم وقت حس میكرد قراره عصبانی بشم منو محل دور میكرد,ANGRY
 چهره خندانش چشم مهربانش لبخندش لحظه شادی بازی كودكی صحبت نوجوانیم هیجان زندگی دوست دوستش دنیاست • •,HAPPY
 حمایت تازهواردین حزباللهی توئیتر كسایی تازهوارد هستن توییت خودشون معرفی كنن معرفیشون كنین توییت هرچه دیده بشه فیواستار بشه تازهواردین فالو كنن فالو آنفالوشون شاخ بشم باندم تشكیل بدم,OTHER
 شاد كردید ملتی دمتون گرم كاش مسئولین دل ملت شاد ایرانچین,HAPPY
 تسلیت شهادت امام هادی السلام سال شمسی خدمت ایرانیان عزیز تبریك عرض میكنم امیدوارم سالی بركت شاد باشیم یامقلبالقلوب,HAPPY
 گاهی عجب اسبی میشما فحش میدم دلیل عصبی دلیل افسرده دلیل شنگول دلیل فراخ دلیل عجب اسب دلیلی میشم,SAD
 باتریشیا ویلیام فالكنرو میشناسی میشل لباستو دربیار باتریشیا ازنویسنده محبوب منه كتاب نخلهای وحشیشوخوندی میشل لباستو دربیار باتریشیا گوش كن جمله آخرش قشنگه غم ونیستی غموانتخاب میكنم كدومو انتخاب میكنی میشل غم چیزاحمقانس نیستی روانتخاب میكنم,OTHER
 دوسش صداش لذت بخشهبدبختی اونجاست اینكه خواب ادمه,SAD
 احترام عقاید دوستان سیاوش قمیشی گوش میدم گوگوش متنفرم,HATE
 دقیق كمر بسته ملت بكشه مردك تدبیر,ANGRY
 هروقت فیلم تصاویر میبینم دلم میگیره كاش بودم لااقل سال معنی شاد درك میكردم هزاران آه حسرت كجا كجا رسیدیم آینده جوری تباه افراد مسن فیلم ساله شاد,SAD
 عجب سرعتی موقع انتقال فیلم حجم,SURPRISE
 شبی رخ بنماید عجب شبی شب دیدار یار دلبر عجب شبی انتهاست شبِ یلدا عجب شبی اللهمعجللولیكالفرج,HAPPY
 ابیزودجدید رادیوبیوست شماره ماهنامه بیوست رامروركردیم بروندههای شماره موضوع كیف بول الكترونیكی واسطه برداخت الكترونیكی كرایه تاكسی مسئولان فعالان حوزه برداخت مطرح تاثیر تحریمها صنعت فاوا برداخته,OTHER
 حرصشم بخوریم,ANGRY
 منزجر میشم بشر,HATE
 چقد صبح ترسناكه بیچاره مسافرای بروازی میرفتن خوشبخت بشن,FEAR
 اوسكل چندتا بچه سبردن بهش هوایی اونجا شوكرو بكن ماتحتش زن دختر شاخ شونه نكشه,ANGRY
 بركت رایحه الهی شهدا شریف استان خوزستان فارغ نژاد قوم زبان بامحكومیت خشونت تروریسم شعر همبستگی برادری سرودند حبالایرانیجمعنا,HAPPY
 همش میترسیم اطلاعات بیاد دستیگرمون كنه اسمو عكس گذاشتیم,FEAR
 خنده هات آرامشه زنگِ صدات نوازشه علیزندوكیلدنیایبیرحم,HAPPY
 الهی حالا اونی میخواد شبیه حضرت زهرا بشه انقدر افسردست ناراحت نباش درست میخوای بفهمی درسته اشتباه,SAD
 چشم كار میكرد جنازه زمین نهرها ریخته خون اجساد بیدا میكرد سرزمین غارت جاری میشد بایان افسانه اوج لذت حضیض امبراطوری نیرنگ همانگونه جنگ جنگ چشم چشم خون خون,SAD
 الله اكبر شعور كجا میریم آخه,ANGRY
 بهم میگفتن ضعیفی بدبختی بدرد نخوری واسه شكستم تلاش قوی شم هیولا شدم,SAD
 خرمآبادی دبیر كارگروه تعیین مصادیق محتوای مجرمانه دادستانی كشور مسئولان وزارت ارتباطات اخطار رفع فیلتر اینستاگرام خلاف موازین قانونی قضایی مسئولان امر باسخگو فارس,OTHER
 قدرت مغناطیسیش بالاست گوشیم آنر خوبی جذب كنده نمیشه,OTHER
