text,label
"کرونا رو شکست میدهیم؟
مرحله بعد چه گوهی میخوای بخوری؟!",ANGRY
اگر در چند ماه اخیر تصمیم داشته اید وارد بورس شوید اما به هر دلیلی به تاخیر افتاده است، این چند روز را هم صبر کنید تا تکلیف مشخص شود. شاید لازم باشد ورود به بازار سرمایه را کلا فراموش کنید. اگر برگشتی در کار بود کمی بالاتر ورود کنید. شاید آقای مددی همه واقعیت را نگوید.,FEAR
یکی از پدرسوختگی های #برانداز اینه که ظاهرا ژست #انساندوستی دارند ، ولی برای سرنگونی نظام از اینکه هزاران نفر زیر فشار اقتصادی له بشند هیچ ابایی ندارن ... اینها همون #داعش های وطنی هستند که معتقدند هدف وسیله رو توجیه می کنه. شاهدش هم اینه که #دلار می خرن تا اقتصاد فروپاشی کنه.,ANGRY
@username اینقدر گرفتار مسایل میشی که تخصص از دستت درد میره و به این فکر میکنی چطوری زنده بمونم,SURPRISE
 شماهایی که توییتها رو میبینید و سکوت میکنید شما تماشگران اعدامید #لغو_فوری_اعدام www.link.com,HATE
"@username @username خدای تو یک احمق و خودشیفته هست.
هرچند خالق خدای تو خودت با جهالتت. باشی.
میگن الاغ نمیفهمه که باری رو دوششه چون الاغه. تو هم نمیفهمی مغزت از روی نادانی خدایت را ساخته چون نادانی.
یک دیوانه هم نمی دونه دیوانست و به همه میگه دیوانه!
خوش باشی با مغز آکبند فکر نکردت",SAD
@username يكي از معروف ترين چهره ها و با سابقه ترين ها در اين مدل شو اف ها #احمدي نژاد هست ايشون رو فراموش نكنيد,SURPRISE
 بابا بخدا گربه من تشکر میکنه توجه میکنه فقط نمیدونم چرا وقتی میبینه خوابم عمیقه میاد داد میکشه سرم و بیدارم میکنه:)),HATE
شرم آوره برای مسئولین استان که توی یه دوره سه ماهه سرما عرضه تامین گاز مردم رو ندارن که باید هر چند هفته یکبار شاهد قحطی گاز باشیم!!,ANGRY
ما از زمان کوروش با یهودیان کودک کش مشکل داریم هیتلر هم مشکل داشت پس دست از پا خطا نکنید که اسراییلی نمی‌مونه ,HATE
نه نه. ببین تا ته نمیخونی همینه. گفتم چای زنجبیل هم مفیده ک اینم نداری میتونم بهت هاگ بدم. همینقد سخاوتمند,SAD
